fccs_id,fccs_name
1,Black cottonwood-Douglas-fir-quaking aspen forest
2,Western hemlock-western redcedar-Douglas-fir forest
3,Douglas-fir forest
4,Douglas-fir/ceanothus forest
5,Douglas-fir-white fir forest
0,Miscellaneous light fuel
1,Black cottonwood-Douglas-fir-quaking aspen forest
2,Western hemlock-western redcedar-Douglas-fir forest
3,Douglas-fir forest
4,Douglas-fir/ceanothus forest
5,Douglas-fir-white fir forest
6,Oregon white oak-Douglas-fir forest
7,Douglas-fir-sugar pine-tanoak forest
8,Western hemlock-Douglas-fir-western redcedar/vine maple forest
9,Douglas-fir-western hemlock-western redcedar/vine maple forest
10,Western hemlock-Douglas-fir-Sitka spruce forest
11,Douglas-fir/western hemlock-Sitka spruce forest
12,Red fir-mountain hemlock-lodgepole pine-western white pine forest
13,Mountain hemlock-Pacific silver fir forest
14,California black oak woodland
15,Jeffrey pine-red fir-white fir/greenleaf-snowbrush forest
16,Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest
17,Red fir forest
18,Douglas-fir/oceanspray forest
19,White fir-giant sequoia-sugar pine forest
20,Western juniper/curl-leaf mountain mahogany woodland
21,Young lodgepole pine forest
22,Mature lodgepole pine forest
23,Mature lodgepole pine forest with bark beetle damage
24,Pacific ponderosa pine-Douglas-fir forest
25,Pinyon-Utah juniper forest
26,Interior ponderosa pine-limber pine forest
27,Ponderosa pine-two needle pinyon-Utah juniper forest
28,Ponderosa pine savanna
29,Interior ponderosa pine-Engelmann spruce-Douglas-fir forest
30,Turbinella oak-alderleaf mountain mahogany shrubland
32,Ponderosa pine/pinyon pine-Utah juniper forest
33,Gambel oak/big sagebrush shrubland - 20-40 years post wildfire
34,Interior Douglas-fir-interior ponderosa pine/gambel oak forest
36,California live oak-blue oak woodland
37,Ponderosa pine-Jeffrey pine forest
38,Douglas-fir-madrone-tanoak forest
39,Sugar pine-Douglas-fir-oak forest
40,Tobosa-grama grassland invaded by shrubs & annual grasses
41,Idaho fescue-bluebunch wheatgrass grassland
42,Quaking aspen/Engelmann spruce forest
43,Arizona white-gray-Emory oak woodland
44,Scrub oak chaparral shrubland
45,Madrean pine-oak forest
46,Chamise chaparral shrubland
47,Redwood-tanoak forest
48,Douglas-fir-tanoak-madrone-bay forest
49,Creosote bush shrubland
51,Coastal sage shrubland
52,Douglas-fir-Pacific ponderosa pine/oceanspray forest
53,Pacific ponderosa pine forest
54,Douglas-fir-white fir-ponderosa pine forest
55,Western juniper/sagebrush savanna
56,Sagebrush shrubland - exotic species
57,Wheatgrass-cheatgrass grassland
58,Western juniper/sagebrush savanna - post prescribed burn
59,Subalpine fir-Engelmann spruce-Douglas-fir-lodgepole pine forest
60,Sagebrush shrubland - post prescribed burn
61,Whitebark pine/subalpine fir forest
62,Huckleberry-heather shrublands - 7 years post wildfire
63,Showy sedge-alpine black sedge grassland
65,Tussock grass-oatgrass grassland
66,Bluebunch wheatgrass-bluegrass grassland
67,Interior ponderosa pine-Douglas-fir forest
69,Western juniper/sagebrush-bitterbrush shrubland
70,Subalpine fir-lodgepole pine-whitebark pine-Engelmann spruce forest
71,Ohia/Florida hopbush-kupaoa forest
72,Ohia/uluhe forest
73,Koa/pukiawe forest
74,Mamani-naio savanna
75,Slash pine/New Caledonia pine forest
76,Slash pine/molasses grass forest
77,Eucalyptus plantation forest
78,Florida hopbush-Mauna Loa beggarticks shrubland
79,Pili grass-broomsedge bluestem grassland
80,Fountain grass grassland
81,Pukiawe/Columbia bluestem grassland
82,White leadtree/Guinea grass shrubland
83,Molasses grass grassland - invaded by exotic species
84,Ohia/Broomsedge bluestem savanna - invaded by exotic species
85,Black spruce/lichen forest
86,Black spruce/feathermoss woodland
87,Black spruce/feathermoss forest
88,Black spruce/sphagnum moss forest
89,Black spruce/cottonsedge woodland
90,White oak-northern red oak forest
91,White spruce/prickly rose forest
92,Quaking aspen-paper birch-white spruce-black spruce forest
93,Paper birch-quaking aspen forest
94,Balsam poplar-quaking aspen forest
95,Willow-mountain alder shrubland
97,Cottongrass grassland
98,Marsh labrador tea-lingonberry tundra shrubland
99,Bluejoint reedgrass grassland
100,Altai fescue grassland
101,White spruce forest
102,White spruce forest with beetle damage
103,White spruce-paper birch forest
104,White spruce-paper birch forest with beetle damage
105,Paper birch-quaking aspen-white spruce forest
106,Red spruce-balsam fir forest - post windthrow
107,Pitch pine/scrub oak forest
109,Eastern white pine-northern red oak-red maple forest
110,American beech-yellow birch-sugar maple forest
114,Virginia pine-pitch pine-shortleaf pine forest
115,Rhododendron-blueberry-mountain laurel shrubland
120,Oak-pine/mountain laurel forest
121,Oak-pine/mountain laurel forest with beetle damage
